3 3 [false, false, false]
1 1 [false, false, false]
1105 5 [true, true, false]
1105 5 [true, true, false]
1105 5 [true, true, false]
1005 5 [false, true, false]
1005 5 [false, true, false]
1106 6 [true, true, false]
1106 6 [true, true, false]
1006 6 [false, true, false]
1006 6 [false, true, false]
1105 5 [true, true, false]
1 1 [false, false, false]
1101 1 [true, true, false]
105 5 [true, false, false]
1106 6 [true, true, false]
1 1 [false, false, false]
1101 1 [true, true, false]
106 6 [true, false, false]
1107 7 [true, true, false]
1002 2 [false, true, false]
1006 6 [false, true, false]
101 1 [true, false, false]
8 8 [false, false, false]
1002 2 [false, true, false]
1005 5 [false, true, false]
1007 7 [false, true, false]
102 2 [true, false, false]
1005 5 [false, true, false]
101 1 [true, false, false]
8 8 [false, false, false]
102 2 [true, false, false]
1005 5 [false, true, false]
101 1 [true, false, false]
1107 7 [true, true, false]
1002 2 [false, true, false]
1005 5 [false, true, false]
1001 1 [false, true, false]
108 8 [true, false, false]
102 2 [true, false, false]
1005 5 [false, true, false]
108 8 [true, false, false]
1002 2 [false, true, false]
1006 6 [false, true, false]
107 7 [true, false, false]
102 2 [true, false, false]
1006 6 [false, true, false]
108 8 [true, false, false]
1002 2 [false, true, false]
1006 6 [false, true, false]
8 8 [false, false, false]
1002 2 [false, true, false]
1005 5 [false, true, false]
101 1 [true, false, false]
1108 8 [true, true, false]
1002 2 [false, true, false]
1006 6 [false, true, false]
1108 8 [true, true, false]
1002 2 [false, true, false]
1005 5 [false, true, false]
7 7 [false, false, false]
1002 2 [false, true, false]
1005 5 [false, true, false]
101 1 [true, false, false]
1007 7 [false, true, false]
1002 2 [false, true, false]
1005 5 [false, true, false]
7 7 [false, false, false]
1002 2 [false, true, false]
1005 5 [false, true, false]
1107 7 [true, true, false]
102 2 [true, false, false]
1006 6 [false, true, false]
107 7 [true, false, false]
1002 2 [false, true, false]
1005 5 [false, true, false]
101 1 [true, false, false]
107 7 [true, false, false]
1002 2 [false, true, false]
1005 5 [false, true, false]
1108 8 [true, true, false]
102 2 [true, false, false]
1006 6 [false, true, false]
1008 8 [false, true, false]
102 2 [true, false, false]
1006 6 [false, true, false]
7 7 [false, false, false]
102 2 [true, false, false]
1005 5 [false, true, false]
101 1 [true, false, false]
1008 8 [false, true, false]
1002 2 [false, true, false]
1006 6 [false, true, false]
101 1 [true, false, false]
1007 7 [false, true, false]
1002 2 [false, true, false]
1005 5 [false, true, false]
1001 1 [false, true, false]
1008 8 [false, true, false]
102 2 [true, false, false]
1006 6 [false, true, false]
4 4 [false, false, false]
[12077198]
Result: 0
